run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,warning_active,driver_input_this_frame,warning_reaction_time,inputs_per_second,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
4.4126,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.4350,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.4579,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.4811,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.5034,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.5264,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.5495,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.5716,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.5949,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.6171,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.6397,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.6628,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.6870,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.7090,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.7314,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.7538,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.7765,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.7995,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.8220,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.8449,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.8670,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.8902,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.9128,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.9361,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
4.9583,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
5.0008,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
5.0119,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
5.0298,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
5.0531,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
5.0760,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
5.0985,1,0,0,0,0,-1.0000,2.0000,0,0,0,0,0
5.1217,1,0,0,0,0,-1.0000,1.0000,0,0,0,0,0
5.1447,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.1670,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.1901,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.2129,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.2354,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.2586,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.2811,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.3036,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.3267,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.3494,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.3731,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.3968,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.4209,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.4435,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.4666,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.4884,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.5350,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.5461,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.5632,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.5860,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.6089,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.6320,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.6547,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.6774,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.7031,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.7253,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.7497,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.7732,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.7983,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.8204,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.8404,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.8658,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.8874,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.9091,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.9290,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.9493,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.9726,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
5.9948,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.0150,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.0565,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.0674,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.0843,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.1066,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.1288,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.1527,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
6.1771,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.2003,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.2233,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.2462,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.2715,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.2946,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.3167,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.3409,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.3649,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.3885,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.4123,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.4364,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.4596,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.4825,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.5057,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.5283,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.5537,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.5748,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.5980,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.6211,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.6429,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.6659,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.6887,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.7156,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.7364,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.7597,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.7813,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.8049,1,0,0,1,0,-1.0000,0.0000,0,0,0,0,0
6.8263,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
6.8673,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
6.8948,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
6.9079,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
6.9252,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
6.9484,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
6.9735,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
6.9973,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.0207,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.0423,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.0674,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.1096,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.1230,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.1384,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.1615,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.1865,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.2086,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.2317,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.2546,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.2785,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.3017,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.3230,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.3471,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.3701,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.3924,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.4136,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.4365,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.4612,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.4844,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.5063,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
7.5272,1,0,0,0,0,-1.0000,0.0000,1,0,0,0,1
