run_time;current_driver_player_number;driver_changed_this_frame;driver_change_count_total;curve_active;warning_active;driver_input_this_frame;inputs_per_second;player1_collision_counter;player2_collision_counter;player3_collision_counter;player4_collision_counter;collision_count_total
34.40713;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.42887;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.45295;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.47324;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.4988;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.52074;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.54509;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.56969;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.59219;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.61478;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.63786;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.65792;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.68377;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.70698;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.72865;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.75111;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.77739;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.80223;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.82062;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.84504;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.86693;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.8903;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.91446;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.9378;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.96167;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.9848;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.00938;1;0;0;False;1;0;0.0000;0;0;0;0;0
35.0318;1;0;0;False;1;0;0.0000;0;0;0;0;0
